name,category,phone,address,location,yelp_url,talking_point
Aspen Dental,Dental,,,"Ewing, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Ewing, NJ — worth fixing?"
"Weiner, Robert E, DMD",Dental,(609) 924-1234,"182 N Harrison St, Princeton, NJ 08540","Princeton, NJ",,"Noticed Weiner, Robert E, DMD doesn't show up when people search for Dental in Princeton, NJ — worth fixing?"
DR Gurjeet Ranu DMD,Dental,(609) 520-8300,"838 Alexander Rd, Princeton, NJ 08540","West Windsor, NJ",,"Noticed DR Gurjeet Ranu DMD doesn't show up when people search for Dental in West Windsor, NJ — worth fixing?"
Zion H Chen DDS,Dental,(609) 799-1772,"1 Woodmere Way, Princeton Junction, NJ 08550","West Windsor, NJ",,"Noticed Zion H Chen DDS doesn't show up when people search for Dental in West Windsor, NJ — worth fixing?"
Aspen Dental,Dental,,,"Plainsboro, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Plainsboro, NJ — worth fixing?"
DR Beverly G Baeder DMD,Dental,(609) 448-0227,"200 S Main St, Hightstown, NJ 08520","East Windsor, NJ",,"Noticed DR Beverly G Baeder DMD doesn't show up when people search for Dental in East Windsor, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
