name,category,phone,address,location,yelp_url,talking_point
Aspen Dental,Dental,,,"Ewing, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Ewing, NJ — worth fixing?"
HomeRepairly Roofing,Roofing,,,"Ewing, NJ",,"Noticed HomeRepairly Roofing doesn't show up when people search for Roofing in Ewing, NJ — worth fixing?"
Henry J Kelch Electrical Contractor,Electrician,(732) 251-0222,"21 Mcfadden Dr, Monroe Township, NJ 08831","Plainsboro, NJ",,"Noticed Henry J Kelch Electrical Contractor doesn't show up when people search for Electrician in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Plainsboro, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
