name,category,phone,address,location,yelp_url,talking_point
Aj Perri,HVAC,(800) 857-9910,"Tinton Falls, NJ 07724","Ewing, NJ",,"Noticed Aj Perri doesn't show up when people search for HVAC in Ewing, NJ — worth fixing?"
Aj Perri,Plumbing,(800) 857-9910,"Tinton Falls, NJ 07724","Ewing, NJ",,"Noticed Aj Perri doesn't show up when people search for Plumbing in Ewing, NJ — worth fixing?"
Ernest & Sons Construction,Contractor,,,"Plainsboro, NJ",,"Noticed Ernest & Sons Construction doesn't show up when people search for Contractor in Plainsboro, NJ — worth fixing?"
JD Lawncare,Landscaping,(609) 401-0910,"Evesham Township, NJ 08053","Bordentown, NJ",,"Noticed JD Lawncare doesn't show up when people search for Landscaping in Bordentown, NJ — worth fixing?"
Redmonds Mulch & Stone World,Landscaping,(609) 261-1118,"2619 Route 206, Mount Holly, NJ 08060","Bordentown, NJ",,"Noticed Redmonds Mulch & Stone World doesn't show up when people search for Landscaping in Bordentown, NJ — worth fixing?"
