name,category,phone,address,location,yelp_url,talking_point
Aspen Dental,Dental,,,"Ewing, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Ewing, NJ — worth fixing?"
Aspen Dental,Dental,,,"Ewing, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Ewing, NJ — worth fixing?"
Aspen Dental,Dental,,,"Lawrence Township, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Lawrence Township, NJ — worth fixing?"
Maverick Ambitions HVAC,HVAC,,,"Plainsboro, NJ",,"Noticed Maverick Ambitions HVAC doesn't show up when people search for HVAC in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Plainsboro, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Plainsboro, NJ — worth fixing?"
Aspen Dental,Dental,,,"Plainsboro, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Plainsboro, NJ — worth fixing?"
SmileBrite Family Dentistry  Isha Thakur,Dental,,,"Plainsboro, NJ",,"Noticed SmileBrite Family Dentistry  Isha Thakur doesn't show up when people search for Dental in Plainsboro, NJ — worth fixing?"
Marquez Services,Painting,,,"Plainsboro, NJ",,"Noticed Marquez Services doesn't show up when people search for Painting in Plainsboro, NJ — worth fixing?"
Local Lawns,Landscaping,,,"Bordentown, NJ",,"Noticed Local Lawns doesn't show up when people search for Landscaping in Bordentown, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
Aspen Dental,Dental,,,"Bordentown, NJ",,"Noticed Aspen Dental doesn't show up when people search for Dental in Bordentown, NJ — worth fixing?"
