name,category,phone,address,location,yelp_url,talking_point
Mustakas Contracting,Contractor,(732) 828-0496,"67 Sharon Rd, Trenton, NJ 08691","Trenton, NJ",,"Noticed Mustakas Contracting doesn't show up when people search for Contractor in Trenton, NJ — worth fixing?"
Total Hardware & Garden Supply,Painting,(732) 254-2629,"5 Fisher St, Sayreville, NJ 08872","Plainsboro, NJ",,"Noticed Total Hardware & Garden Supply doesn't show up when people search for Painting in Plainsboro, NJ — worth fixing?"
Rosado Home Improvement LLC,Painting,(908) 531-4177,"PO Box 8012, Piscataway Township, NJ 08855","Plainsboro, NJ",,"Noticed Rosado Home Improvement LLC doesn't show up when people search for Painting in Plainsboro, NJ — worth fixing?"
Kagels Heating Air Conditioning Inc,HVAC,(609) 298-5732,"2465 Old York Rd, Bordentown, NJ 08505","Bordentown, NJ",,"Noticed Kagels Heating Air Conditioning Inc doesn't show up when people search for HVAC in Bordentown, NJ — worth fixing?"
Ted Speer & Sons,HVAC,(856) 273-2277,"1502 Rancocas Rd, Burlington, NJ 08016","Bordentown, NJ",,"Noticed Ted Speer & Sons doesn't show up when people search for HVAC in Bordentown, NJ — worth fixing?"
Plumbing 24 7,Plumbing,(609) 735-6395,"31 Pemberton Browns Mill Rd, Browns Mills, NJ 08015","Bordentown, NJ",,"Noticed Plumbing 24 7 doesn't show up when people search for Plumbing in Bordentown, NJ — worth fixing?"
